product_number,formula_code,product_name,product_form,unit_weight,pallet_quantity,stocking_status,min_order_quantity,days_lead_time,fob_or_dlv,price_change,list_price,full_pallet_price,half_load_full_pallet_price,full_load_full_pallet_price,full_load_best_price,plant_location,date_inserted,source
3004453-206,359Y,TC 30 RATION BAL 500440,PELLETS,50.00 LB,40,FS,0,5,DLV,0.0,34.5,34.1,34.1,34.1,33.08,HUDSON'S,2024-10-07,pdf
3004481,524L,TC ALF BLND FORG BL 500921,MEAL,40.00 LB,45,FX,0,5,DLV,0.0,20.4,20.0,20.0,20.0,19.4,HUDSON'S,2024-10-07,pdf
3004478,524M,TC ALFALFA CUBES NAT 500723,CUBED,50.00 LB,40,FX,0,5,DLV,0.0,23.6,23.2,23.2,23.2,22.5,HUDSON'S,2024-10-07,pdf
3005518-206,35QQ,TC BALANCER GOLD 501140,PELLETS,50.00 LB,40,FS,0,5,DLV,0.0,36.5,36.1,36.1,36.1,35.02,HUDSON'S,2024-10-07,pdf
3004454-506,359Z,TC COMPLETE TEXT 500716,TEXTURED,50.00 LB,40,FS,0,5,DLV,0.0,26.4,26.0,26.0,26.0,25.22,HUDSON'S,2024-10-07,pdf
3004471,524R,TC ESSNTIAL OMEGA BLD CS500990,LIQUID,36.00 LB,36,FX,0,5,DLV,0.0,100.74,100.34,100.34,100.34,97.33,HUDSON'S,2024-10-07,pdf
3004470,524S,TC GRASS FORG NAT BL 500938,MEAL,40.00 LB,45,FX,0,5,DLV,0.0,20.4,20.0,20.0,20.0,19.4,HUDSON'S,2024-10-07,pdf
3004456-506,35A0,TC GROWTH TEXT 500808,TEXTURED,50.00 LB,40,FS,0,5,DLV,0.0,26.4,26.0,26.0,26.0,25.22,HUDSON'S,2024-10-07,pdf
3004443-206,359V,TC LITE PELLET 500600,PELLETS,50.00 LB,40,FS,0,5,DLV,0.0,26.4,26.0,26.0,26.0,25.22,HUDSON'S,2024-10-07,pdf
3004458-206,35AC,TC LOW STARCH 500822,PELLETS,50.00 LB,40,FS,0,5,DLV,0.0,26.4,26.0,26.0,26.0,25.22,HUDSON'S,2024-10-07,pdf
3004485,524U,TC NAT GOLDN GRND FLAX 500860,MEAL,25.00 LB,78,FX,0,5,DLV,0.0,43.15,42.75,42.75,42.75,41.47,HUDSON'S,2024-10-07,pdf
3004466-206,35F3,TC NATURALS PELLET 501034,PELLETS,50.00 LB,40,FX,0,5,DLV,0.0,29.4,29.0,29.0,29.0,28.13,HUDSON'S,2024-10-07,pdf
3006782,,TC NATURALS RICE BRAN,EXTRUDED,40.00 LB,50,FX,0,5,DLV,0.0,30.15,29.75,29.75,29.75,28.86,HUDSON'S,2024-10-07,pdf
3005524-206,35WK,TC PERFORM GOLD 501133,PELLETS,50.00 LB,40,FX,0,5,DLV,0.0,27.4,27.0,27.0,27.0,26.19,HUDSON'S,2024-10-07,pdf
3004489,524V,TC SAFESTARCH FORG BL 500945,MEAL,40.00 LB,45,FX,0,5,DLV,0.0,23.4,23.0,23.0,23.0,22.31,HUDSON'S,2024-10-07,pdf
3004440-506,359U,TC SENIOR 500464,TEXTURED,50.00 LB,40,FS,0,5,DLV,0.0,26.4,26.0,26.0,26.0,25.22,HUDSON'S,2024-10-07,pdf
3005523-506,35UP,TC SENIOR GOLD 501157,TEXTURED,50.00 LB,40,FS,0,5,DLV,0.0,27.4,27.0,27.0,27.0,26.19,HUDSON'S,2024-10-07,pdf
3004469,524W,TC STM CRMPD OATS NAT 500655,MEAL,50.00 LB,40,FX,0,5,DLV,0.0,25.9,25.5,25.5,25.5,24.73,HUDSON'S,2024-10-07,pdf
3025767,,TC STRESSFREE FORAGE,MEAL,40.00 LB,45,FX,0,5,DLV,0.0,29.15,28.75,28.75,28.75,27.89,HUDSON'S,2024-10-07,pdf
3004484,524X,TC TIMOTHY BAL CB NAT 501119,CUBED,50.00 LB,40,FX,0,5,DLV,0.0,27.85,27.45,27.45,27.45,26.63,HUDSON'S,2024-10-07,pdf
3004479,524Y,TC TIMOTHY/ALF CB NAT 500730,CUBED,50.00 LB,40,FX,0,5,DLV,0.0,23.85,23.45,23.45,23.45,22.75,HUDSON'S,2024-10-07,pdf
3004769-206,32U9,TC TLC HF PELLET,PELLETS,50.00 LB,40,MO,120,7,DLV,0.0,26.15,25.75,25.75,25.75,24.98,HUDSON'S,2024-10-07,pdf
3004465-206,35EG,TC TLC PELLET 277000,PELLETS,50.00 LB,40,MO,120,9,DLV,0.0,25.4,25.0,25.0,25.0,24.25,HUDSON'S,2024-10-07,pdf
3004486-746,524Z,TC TREATS CASE 10X2LB 501027,EXTRUDED,20.00 LB,64,FX,0,5,DLV,0.0,38.16,37.76,37.76,37.76,36.63,HUDSON'S,2024-10-07,pdf
3004467,5250,TC WHOLE OATS NAT 500617,MEAL,50.00 LB,40,FX,0,5,DLV,0.0,25.4,25.0,25.0,25.0,24.25,HUDSON'S,2024-10-07,pdf
5484,5646,MAZURI CRANE DIET,EXTRUDED,50.00 LB,21,FX,0,5,DLV,0.15,40.49,40.09,39.84,39.59,38.4,HUDSON'S,2024-10-07,pdf
1488,5M69,MAZURI EMU MAINTENANCE,PELLETS,50.00 LB,40,FX,0,5,DLV,0.18,24.84,24.44,24.19,23.94,23.22,HUDSON'S,2024-10-07,pdf
5480,5644,MAZURI FLAMINGO COMPLETE DIET,EXTRUDED,50.00 LB,21,FX,0,5,DLV,0.15,75.59,75.19,74.94,74.69,72.45,HUDSON'S,2024-10-07,pdf
1454,56A8,MAZURI LARGE BIRD DIET,EXTRUDED,25.00 LB,40,FX,0,5,DLV,0.07,35.41,35.01,34.88,34.75,33.71,HUDSON'S,2024-10-07,pdf
3007656-706,564Y,MAZURI NUTRIBLEND GOLD,EXTRUDED,50.00 LB,21,FX,0,5,DLV,0.15,28.56,28.16,27.91,27.66,26.83,HUDSON'S,2024-10-07,pdf
3007655-706,564X,MAZURI NUTRIBLEND GREEN,EXTRUDED,50.00 LB,21,FX,0,5,DLV,0.15,28.39,27.99,27.74,27.49,26.67,HUDSON'S,2024-10-07,pdf
1455,56A9,MAZURI PARROT BRDR DIET,EXTRUDED,25.00 LB,40,FX,0,5,DLV,0.08,36.05,35.65,35.52,35.39,34.33,HUDSON'S,2024-10-07,pdf
3007735-206,566G,MAZURI PIGEON CKR,PELLETS,50.00 LB,40,FX,0,5,DLV,0.15,21.66,21.26,21.01,20.76,20.14,HUDSON'S,2024-10-07,pdf
56270,5MI2,MAZURI SOFTBILL DIET,EXTRUDED,15.00 LB,40,FX,0,5,DLV,0.05,43.16,42.76,42.68,42.6,41.32,HUDSON'S,2024-10-07,pdf
57004,5640,MAZURI WATERFOWL LAYER NO TA,EXTRUDED,25.00 LB,40,FX,0,5,DLV,0.08,21.45,21.05,20.92,20.79,20.17,HUDSON'S,2024-10-07,pdf
1435,5642,MAZURI WATERFOWL MNT,EXTRUDED,50.00 LB,21,FX,0,5,DLV,0.15,39.26,38.86,38.61,38.36,37.21,HUDSON'S,2024-10-07,pdf
61700,5ZF1,MAZ WILD HERB HI FIBER DIET,PELLETS,50.00 LB,40,FX,0,5,DLV,0.15,29.61,29.21,28.96,28.71,27.85,HUDSON'S,2024-10-07,pdf
3001790-916,5Z8W,MAZ WILD HERBIVORE PLUS DIET,PELLETS,50.00 LB,40,FX,0,5,DLV,0.15,33.06,32.66,32.41,32.16,31.2,HUDSON'S,2024-10-07,pdf
3005545-416,5V0R,MAZURI EXOTIC LS HOOFSTOC CUB,CUBED,50.00 LB,40,FX,0,5,DLV,0.17,28.96,28.56,28.31,28.06,27.22,HUDSON'S,2024-10-07,pdf
3002726-906,561N,MAZURI EXOTIC LS HOOFSTOCK PLT,PELLETS,50.00 LB,40,MO,120,5,DLV,0.0,23.59,23.19,22.94,22.69,22.01,HUDSON'S,2024-10-07,pdf
5496,5655,MAZURI SHEEP LOCU,PELLETS,50.00 LB,40,FX,0,5,DLV,0.15,32.01,31.61,31.36,31.11,30.18,HUDSON'S,2024-10-07,pdf
1491,5M80,MAZ KOI PLATINUM NUGGETS,EXTRUDED,20.00 LB,40,FX,0,5,DLV,0.06,44.01,43.61,43.51,43.41,42.11,HUDSON'S,2024-10-07,pdf
3005471-205,56SF,MAZURI ALPACA COMPLETE LIFE,PELLETS,40.00 LB,50,FX,0,5,DLV,0.12,30.31,29.91,29.71,29.51,28.62,HUDSON'S,2024-10-07,pdf
3005470-205,56KC,MAZURI ALPACA PERFORMANCE,PELLETS,40.00 LB,50,FX,0,5,DLV,0.28,30.45,30.05,29.85,29.65,28.76,HUDSON'S,2024-10-07,pdf
41408,5MI7,MAZURI LLAMA CHEWS,PELLETS,50.00 LB,40,FX,0,5,DLV,0.13,25.59,25.19,24.94,24.69,23.95,HUDSON'S,2024-10-07,pdf
1425,5631,MAZURI LLAMA DIET H.F.,PELLETS,50.00 LB,40,FX,0,5,DLV,0.15,23.34,22.94,22.69,22.44,21.77,HUDSON'S,2024-10-07,pdf
1351,5130,PURINA CRICKET CHOW,MEAL,50.00 LB,40,MO,160,13,DLV,0.5,21.56,21.16,20.91,20.66,20.04,HUDSON'S,2024-10-07,pdf
1476,5M29,MAZ MONKEY CRUNCH 20 BISCUIT,BISCUIT,20.00 LB,40,FX,0,5,DLV,0.06,30.24,29.84,29.74,29.64,28.75,HUDSON'S,2024-10-07,pdf
7320,5MA5,MAZ NEW WORLD PRIMATE,BISCUIT,25.00 LB,40,FX,0,5,DLV,0.08,42.29,41.89,41.76,41.63,40.38,HUDSON'S,2024-10-07,pdf
1444,5664,MAZ TIM-BASED GUINEA PIG DT,PELLETS,25.00 LB,40,FX,0,5,DLV,0.08,19.34,18.94,18.81,18.68,18.12,HUDSON'S,2024-10-07,pdf
1477,5M30,MAZURI RODENT BREEDER 6F,CUBED,50.00 LB,40,FX,0,5,DLV,0.0,25.26,24.86,24.61,24.36,23.63,HUDSON'S,2024-10-07,pdf
3009668-746,566T,MAZ PETTING ZOO TREATS,BISCUIT,18.00 LB,36,MO,4,13,DLV,0.06,17.63,17.23,17.14,17.05,16.54,HUDSON'S,2024-10-07,pdf
1474,5M21,MAZ TORTOISE DIET,BISCUIT,25.00 LB,40,FX,0,5,DLV,0.08,31.19,30.79,30.66,30.53,29.61,HUDSON'S,2024-10-07,pdf
1819300-747,5Z4X,MAZURI ELECTROLYTE 4X1KG CASE,MEAL,8.82 LB,40,MO,4,13,DLV,0.0,71.23,70.83,70.79,70.75,68.63,HUDSON'S,2024-10-07,pdf
3005272-203,5Z4B,MAZURI MINI PIG ACTIVE ADULT,PELLETS,25.00 LB,80,FX,0,5,DLV,0.08,14.69,14.29,14.16,14.03,13.61,HUDSON'S,2024-10-07,pdf
3005274-203,5Z4C,MAZURI MINI PIG MATURE MAINT,PELLETS,25.00 LB,80,FX,0,5,DLV,0.08,14.69,14.29,14.16,14.03,13.61,HUDSON'S,2024-10-07,pdf
1442,5663,MAZURI RAT + MOUSE,CUBED,25.00 LB,40,FX,0,5,DLV,0.0,19.34,18.94,18.81,18.68,18.12,HUDSON'S,2024-10-07,pdf
57006,5640,MAZURI WATERFOWL LAYER,EXTRUDED,20.00 LB,36,MO,0,13,DLV,9.18,18.55,18.15,18.05,17.95,17.41,HUDSON'S,2024-10-07,pdf
57003,5642,MAZURI WATERFOWL MNT,EXTRUDED,20.00 LB,36,MO,4,13,DLV,0.06,17.87,17.47,17.37,17.27,16.75,HUDSON'S,2024-10-07,pdf
57008,5641,MAZURI WATERFOWL START,EXTRUDED,20.00 LB,36,MO,4,13,DLV,0.06,19.59,19.19,19.09,18.99,18.42,HUDSON'S,2024-10-07,pdf
3007787-146,1ZLD,PUR MS MR 4X8LB CASE,POWDER,32.00 LB,42,FX,0,5,DLV,1.44,73.12,72.72,72.72,72.72,72.72,HUDSON'S,2024-10-07,pdf
1485286-106,LV99,CM JERSEY BOV FF DBZ 50LB,POWDER,50.00 LB,40,FX,0,5,DLV,3.0,88.06,87.66,87.66,87.66,87.66,HUDSON'S,2024-10-07,pdf
1504104-103,LN9S,HERDMKR PB BOV FF 25LB,POWDER,25.00 LB,80,FX,0,5,DLV,0.75,33.74,33.34,33.34,33.34,33.34,HUDSON'S,2024-10-07,pdf
1470405-106,L0Z7,NURSE FORM BOV FF DBZ 50LB,POWDER,50.00 LB,40,FX,0,5,DLV,2.25,70.66,70.26,70.26,70.26,70.26,HUDSON'S,2024-10-07,pdf
2402423,LYS9,LOL COLOSTRUM (15 DOSES/CASE),POWDER,15.57 LB,48,FX,0,5,DLV,0.0,426.75,426.35,426.35,426.35,426.35,HUDSON'S,2024-10-07,pdf
2400007,LYQ9,LOL COLOSTRUM (37.5 LB PAIL),POWDER,37.50 LB,18,FX,0,5,DLV,0.0,977.26,976.86,976.86,976.86,976.86,HUDSON'S,2024-10-07,pdf
2402491-103,18YW,LOL ELECTROLYTE CMPL 25LB,POWDER,25.00 LB,80,FX,0,5,DLV,0.0,116.26,115.86,115.86,115.86,115.86,HUDSON'S,2024-10-07,pdf
3006921-746,472L,EXCL CC PNUTBUTR SNACK 12X16O,EXTRUDED,12.00 LB,45,FX,0,5,DLV,0.0,27.97,27.57,27.51,27.45,26.63,HUDSON'S,2024-10-07,pdf
3006922-746,472N,EXCL CC PORKPUPPYSNACK 12X16,EXTRUDED,12.00 LB,45,FX,0,5,DLV,0.0,27.97,27.57,27.51,27.45,26.63,HUDSON'S,2024-10-07,pdf
3005424-742,4713,EXCL SIG ADLT DOG C+BR CC 15LB,EXTRUDED,15.00 LB,56,FX,0,5,DLV,0.0,23.96,23.56,23.48,23.4,22.7,HUDSON'S,2024-10-07,pdf
3005424-720,4713,EXCL SIG ADLT DOG C+BR CC 30LB,EXTRUDED,30.00 LB,60,FX,0,5,DLV,0.0,42.86,42.46,42.31,42.16,40.9,HUDSON'S,2024-10-07,pdf
3005436-742,471R,EXCL SIG ALS CAT C+BR CC 15LB,EXTRUDED,15.00 LB,56,FX,0,5,DLV,0.0,23.96,23.56,23.48,23.4,22.7,HUDSON'S,2024-10-07,pdf
3005427-742,4717,EXCL SIG ALS DOG L+BR CC 15LB,EXTRUDED,15.00 LB,56,FX,0,5,DLV,0.0,24.38,23.98,23.9,23.82,23.11,HUDSON'S,2024-10-07,pdf
3005427-720,4717,EXCL SIG ALS DOG L+BR CC 30LB,EXTRUDED,30.00 LB,60,FX,0,5,DLV,0.0,43.72,43.32,43.17,43.02,41.73,HUDSON'S,2024-10-07,pdf
3005429-324,471T,EXCL SIG ALS PERF DG CBRCC35LB,EXTRUDED,35.00 LB,52,FX,0,5,DLV,0.0,50.83,50.43,50.25,50.07,48.57,HUDSON'S,2024-10-07,pdf
3005430-720,4719,EXCL SIG HW ADLT DOG CBRCC30LB,EXTRUDED,30.00 LB,60,FX,0,5,DLV,0.0,42.86,42.46,42.31,42.16,40.9,HUDSON'S,2024-10-07,pdf
3005431-720,4718,EXCL SIG LB ADLT DOG CBRCC30LB,EXTRUDED,30.00 LB,60,FX,0,5,DLV,0.0,42.86,42.46,42.31,42.16,40.9,HUDSON'S,2024-10-07,pdf
3005432-720,471J,EXCL SIG LB PUPPY C+BR CC 30LB,EXTRUDED,30.00 LB,60,FX,0,5,DLV,0.0,42.86,42.46,42.31,42.16,40.9,HUDSON'S,2024-10-07,pdf
3005434-742,471K,EXCL SIG PUPPY C+BR CC 15LB,EXTRUDED,15.00 LB,56,FX,0,5,DLV,0.0,23.96,23.56,23.48,23.4,22.7,HUDSON'S,2024-10-07,pdf
3005434-720,471K,EXCL SIG PUPPY C+BR CC 30LB,EXTRUDED,30.00 LB,60,FX,0,5,DLV,0.0,42.86,42.46,42.31,42.16,40.9,HUDSON'S,2024-10-07,pdf
3005433-742,471H,EXCL SIG SENIOR DOG C+BRCC15LB,EXTRUDED,15.00 LB,56,FX,0,5,DLV,0.0,23.96,23.56,23.48,23.4,22.7,HUDSON'S,2024-10-07,pdf
3005433-720,471H,EXCL SIG SENIOR DOG C+BRCC30LB,EXTRUDED,30.00 LB,60,FX,0,5,DLV,0.0,42.86,42.46,42.31,42.16,40.9,HUDSON'S,2024-10-07,pdf
3005588-742,4727,INFINIA ALS DOG C+BR CC 15LB,EXTRUDED,15.00 LB,56,FX,0,5,DLV,0.0,30.77,30.37,30.29,30.21,29.3,HUDSON'S,2024-10-07,pdf
3005588-720,4727,INFINIA ALS DOG C+BR CC 30LB,EXTRUDED,30.00 LB,60,FX,0,5,DLV,0.0,56.99,56.59,56.44,56.29,54.6,HUDSON'S,2024-10-07,pdf
3005588-746,4727,INFINIA ALS DOG C+BR CC 6X5LB,EXTRUDED,30.00 LB,36,FX,0,5,DLV,0.0,68.89,68.49,68.34,68.19,66.14,HUDSON'S,2024-10-07,pdf
3005589-742,4728,INFINIA GF ADLT DG S+SP CC15LB,EXTRUDED,15.00 LB,56,FX,0,5,DLV,0.0,31.22,30.82,30.74,30.66,29.74,HUDSON'S,2024-10-07,pdf
3005589-720,4728,INFINIA GF ADLT DG S+SP CC30LB,EXTRUDED,30.00 LB,60,FX,0,5,DLV,0.0,63.25,62.85,62.7,62.55,60.67,HUDSON'S,2024-10-07,pdf
3005590-720,4729,INFINIA GF ADLT DG T+SP CC30LB,EXTRUDED,30.00 LB,60,FX,0,5,DLV,0.0,62.24,61.84,61.69,61.54,59.69,HUDSON'S,2024-10-07,pdf
3005857-706,473F,RED FLANNEL BITESNBONE DOG50L,EXTRUDED,50.00 LB,40,FX,0,5,DLV,0.0,39.66,39.26,39.01,38.76,37.6,HUDSON'S,2024-10-07,pdf
3005856-705,473E,RED FLANNEL CANINE SEL DOG40LB,EXTRUDED,40.00 LB,40,FX,0,5,DLV,0.0,30.39,29.99,29.79,29.59,28.7,HUDSON'S,2024-10-07,pdf
3005853-712,473B,RED FLANNEL CAT CC 20LB,EXTRUDED,20.00 LB,50,FX,0,5,DLV,0.0,22.18,21.78,21.68,21.58,20.93,HUDSON'S,2024-10-07,pdf
3005855-706,473D,RED FLANNEL HI PRO CC DOG 50LB,EXTRUDED,50.00 LB,40,FX,0,5,DLV,0.0,41.39,40.99,40.74,40.49,39.28,HUDSON'S,2024-10-07,pdf
3005850-706,4738,RED FLANNEL PRIME CC DOG 50LB,EXTRUDED,50.00 LB,40,FX,0,5,DLV,0.0,43.49,43.09,42.84,42.59,41.31,HUDSON'S,2024-10-07,pdf
3005920-706,472H,CANINE ADVANTAGE 50LB,EXTRUDED,50.00 LB,40,FX,0,5,DLV,0.0,44.16,43.76,43.51,43.26,41.96,HUDSON'S,2024-10-07,pdf
3006751-705,472Q,COUNTRY ACRES FARM CAT 40LB,EXTRUDED,40.00 LB,40,FX,0,5,DLV,0.0,35.61,35.21,35.01,34.81,33.77,HUDSON'S,2024-10-07,pdf
51300,4930,FELINE MEDLEY CAT FD 20LB,EXTRUDED,20.00 LB,50,FX,0,5,DLV,0.0,22.46,22.06,21.96,21.86,21.2,HUDSON'S,2024-10-07,pdf
3004902-206,532D,PURINA RABBIT COMPLETE 50LB,PELLETS,50.00 LB,40,FS,0,5,DLV,0.37,19.16,18.76,18.51,18.26,17.71,HUDSON'S,2024-10-07,pdf
3004903-206,532E,PURINA RABBIT PROF PL 50LB,PELLETS,50.00 LB,40,FX,0,5,DLV,0.38,20.64,20.24,19.99,19.74,19.15,HUDSON'S,2024-10-07,pdf
3004918-206,532F,PURINA RABBIT SHOW 50LB,PELLETS,50.00 LB,40,FX,0,5,DLV,0.37,20.96,20.56,20.31,20.06,19.46,HUDSON'S,2024-10-07,pdf
3009633-206,21B9,HIGH OCTANE DEPTH CHARGE,PELLETS,50.00 LB,40,FX,0,5,DLV,0.38,22.44,22.04,21.79,21.54,20.89,HUDSON'S,2024-10-07,pdf
3009632-205,21B3,HIGH OCTANE FITTER 35,PELLETS,40.00 LB,50,FX,0,5,DLV,0.3,47.85,47.45,47.25,47.05,45.64,HUDSON'S,2024-10-07,pdf
3004771-205,21CC,HIGH OCTANE FITTER 52,PELLETS,40.00 LB,50,FX,0,5,DLV,0.3,47.73,47.33,47.13,46.93,45.52,HUDSON'S,2024-10-07,pdf
3000374-112,206T,HIGH OCTANE HEAVYWEIGHT 20LB,POWDER,20.00 LB,36,FX,0,5,DLV,0.15,57.74,57.34,57.24,57.14,55.43,HUDSON'S,2024-10-07,pdf
3009630-705,21AW,HIGH OCTANE POWER FUEL,EXTRUDED,40.00 LB,50,FX,0,5,DLV,0.3,47.79,47.39,47.19,46.99,45.58,HUDSON'S,2024-10-07,pdf
3005509-203,219H,HIGH OCTANE SHOW SUPL CLARIFL,PELLETS,25.00 LB,80,FX,0,5,DLV,0.19,34.9,34.5,34.37,34.24,33.21,HUDSON'S,2024-10-07,pdf
3007535-206,21AC,HIGH OCTANE ULTRA FULL,PELLETS,50.00 LB,40,FX,0,5,DLV,0.37,21.76,21.36,21.11,20.86,20.23,HUDSON'S,2024-10-07,pdf
3011975-506,39ZY,HS FTRS EDGE 13 DX,TEXTURED,50.00 LB,40,FX,0,5,DLV,0.37,19.71,19.31,19.06,18.81,18.25,HUDSON'S,2024-10-07,pdf
3009940-506,392X,HS FULL RANGE DX - CRACKED,TEXTURED,50.00 LB,40,MO,0,14,DLV,0.38,16.94,16.54,16.29,16.04,15.56,HUDSON'S,2024-10-07,pdf
3011981-206,55SX,HS LAMB AND GOAT CREEP 15 DX,PELLETS,50.00 LB,40,FX,0,5,DLV,0.37,23.06,22.66,22.41,22.16,21.5,HUDSON'S,2024-10-07,pdf
3009970-506,55P9,HS SHOW GOAT DX TXT,TEXTURED,50.00 LB,40,FX,0,5,DLV,0.37,23.31,22.91,22.66,22.41,21.74,HUDSON'S,2024-10-07,pdf
3011980-906,55ZZ,HS SHOW GOAT GR 17P DX,PELLETS,50.00 LB,40,FX,0,5,DLV,0.38,21.64,21.24,20.99,20.74,20.12,HUDSON'S,2024-10-07,pdf
3009891-906,52BT,HS SHOW PIG 14P BMD,PELLETS,50.00 LB,40,FX,0,5,DLV,0.37,18.76,18.36,18.11,17.86,17.32,HUDSON'S,2024-10-07,pdf
3009890-906,52BS,HS SHOW PIG 19P BMD,PELLETS,50.00 LB,40,FX,0,5,DLV,0.37,28.66,28.26,28.01,27.76,26.93,HUDSON'S,2024-10-07,pdf
3011984-906,55SV,HS SHOWLAMB CREEP 20 DX30,PELLETS,50.00 LB,40,FX,0,5,DLV,0.37,23.56,23.16,22.91,22.66,21.98,HUDSON'S,2024-10-07,pdf
3011987-506,55ST,HS SHOWLAMB STRETCH 17 TXT DX,TEXTURED,50.00 LB,40,FX,0,5,DLV,0.38,23.79,23.39,23.14,22.89,22.2,HUDSON'S,2024-10-07,pdf
3001121-905,61X7,BLACK OIL SUNFLWR SEED 40LB,SEED,40.00 LB,50,FX,0,5,DLV,0.0,32.17,31.77,31.57,31.37,30.43,HUDSON'S,2024-10-07,pdf
3005010-206,218M,PURINA NATURES MATCH SOWPIG C,PELLETS,50.00 LB,40,FS,0,5,DLV,0.37,19.46,19.06,18.81,18.56,18.0,HUDSON'S,2024-10-07,pdf
